Tipo de Rede;Tipo de Monitoramento;Tipo;Data;Hora;Código Estação;Nome Estação;Nome Parâmetro;Unidade Medida;Média Horária;Média Móvel;Válido;Dt. Amostragem;Dt. Instalação;Dt. Retirada;Concentração;Taxa
A;CETESB;Dados Primários;18/07/2026;01:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;40;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;02:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;23;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;03:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;17;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;04:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;19;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;05:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;19;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;06:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;23;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;07:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;30;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;08:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;30;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;09:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;35;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;10:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;25;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;11:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;24;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;12:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;17;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;13:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;19;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;14:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;22;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;15:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;30;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;16:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;28;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;17:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;32;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;18:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;35;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;19:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;52;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;20:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;51;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;21:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;41;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;22:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;32;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;23:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;27;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;24:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;29;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;01:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;31;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;02:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;34;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;03:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;23;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;04:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;12;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;05:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;12;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;06:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;17;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;07:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;35;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;08:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;25;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;12:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;12;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;13:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;15;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;14:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;20;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;15:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;20;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;16:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;22;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;17:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;21;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;18:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;32;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;19:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;44;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;20:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;56;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;21:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;44;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;22:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;39;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;23:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;30;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;24:00;91;Cerqueira César;NO2 (Dióxido de Nitrogênio);µg/m3;37;-;Sim;-;-;-;-;-
