Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;91
Nome da estação:;Cerqueira César

Data;Hora;Média Horária;Média Horária;Média Horária
;;MP2.5(Partículas Inaláveis Finas) - µg/m3;NO(Monóxido de Nitrogênio) - µg/m3;NO2(Dióxido de Nitrogênio) - µg/m3
19/08/2026;01:00;;101;83
19/08/2026;02:00;;122;66
19/08/2026;03:00;;157;26
19/08/2026;04:00;;137;27
19/08/2026;05:00;;142;34
19/08/2026;06:00;;233;7
19/08/2026;07:00;;200;12
19/08/2026;08:00;;141;26
19/08/2026;09:00;;139;42
19/08/2026;10:00;38;112;81
19/08/2026;11:00;41;61;100
19/08/2026;12:00;32;29;76
19/08/2026;13:00;21;11;41
19/08/2026;14:00;14;11;54
19/08/2026;15:00;14;1;32
19/08/2026;16:00;14;1;41
19/08/2026;17:00;19;0;38
19/08/2026;18:00;19;0;52
19/08/2026;19:00;20;0;43
19/08/2026;20:00;20;0;51
19/08/2026;21:00;28;0;46
19/08/2026;22:00;17;0;38
19/08/2026;23:00;18;0;37
19/08/2026;24:00;17;5;57
