Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;91
Nome da estação:;Cerqueira César

Data;Hora;Média Horária
;;MP10(Partículas Inaláveis) - µg/m3
19/08/2026;01:00;75
19/08/2026;02:00;73
19/08/2026;03:00;91
19/08/2026;04:00;74
19/08/2026;05:00;72
19/08/2026;06:00;74
19/08/2026;07:00;80
19/08/2026;08:00;57
19/08/2026;09:00;47
19/08/2026;10:00;72
19/08/2026;11:00;47
19/08/2026;12:00;49
19/08/2026;13:00;45
19/08/2026;14:00;39
19/08/2026;15:00;40
19/08/2026;16:00;29
19/08/2026;17:00;36
19/08/2026;18:00;48
19/08/2026;19:00;37
19/08/2026;20:00;38
19/08/2026;21:00;46
19/08/2026;22:00;32
19/08/2026;23:00;30
19/08/2026;24:00;33
