Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;266
Nome da estação:;Itaim Paulista

Data;Hora;Média Horária;Média Horária;Média Horária
;;MP10(Partículas Inaláveis) - µg/m3;MP2.5(Partículas Inaláveis Finas) - µg/m3;NO(Monóxido de Nitrogênio) - µg/m3
19/08/2026;01:00;103;72;94
19/08/2026;02:00;133;68;57
19/08/2026;03:00;79;53;70
19/08/2026;04:00;87;59;63
19/08/2026;05:00;60;44;29
19/08/2026;06:00;62;35;8
19/08/2026;07:00;49;30;62
19/08/2026;08:00;54;32;56
19/08/2026;09:00;45;25;35
19/08/2026;10:00;46;19;22
19/08/2026;11:00;40;22;7
19/08/2026;12:00;39;16;3
19/08/2026;13:00;24;9;2
19/08/2026;14:00;23;10;1
19/08/2026;15:00;23;15;1
19/08/2026;16:00;31;20;0
19/08/2026;17:00;36;23;0
19/08/2026;18:00;85;48;0
19/08/2026;19:00;65;34;1
19/08/2026;20:00;55;37;1
19/08/2026;21:00;50;25;0
19/08/2026;22:00;36;14;1
19/08/2026;23:00;15;8;0
19/08/2026;24:00;;;
