Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;266
Nome da estação:;Itaim Paulista

Data;Hora;Média Horária
;;NO2(Dióxido de Nitrogênio) - µg/m3
19/08/2026;01:00;114
19/08/2026;02:00;98
19/08/2026;03:00;81
19/08/2026;04:00;67
19/08/2026;05:00;59
19/08/2026;06:00;56
19/08/2026;07:00;64
19/08/2026;08:00;68
19/08/2026;09:00;75
19/08/2026;10:00;70
19/08/2026;11:00;60
19/08/2026;12:00;36
19/08/2026;13:00;22
19/08/2026;14:00;20
19/08/2026;15:00;22
19/08/2026;16:00;24
19/08/2026;17:00;35
19/08/2026;18:00;51
19/08/2026;19:00;59
19/08/2026;20:00;61
19/08/2026;21:00;44
19/08/2026;22:00;35
19/08/2026;23:00;25
19/08/2026;24:00;
