Tipo de Rede;Tipo de Monitoramento;Tipo;Data;Hora;Código Estação;Nome Estação;Nome Parâmetro;Unidade Medida;Média Horária;Média Móvel;Válido;Dt. Amostragem;Dt. Instalação;Dt. Retirada;Concentração;Taxa
A;CETESB;Dados Primários;24/07/2026;01:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;1;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;02:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;6;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;03:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;6;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;04:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;10;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;05:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;14;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;06:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;9;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;07:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;12;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;08:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;11;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;09:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;4;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;10:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;4;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;11:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;4;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;12:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;6;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;13:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;10;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;14:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;5;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;24/07/2026;15:00;97;Itaquera;MP2.5 (Partículas Inaláveis Finas);µg/m3;4;-;Sim;-;-;-;-;-
